AverageTime,CurrentTime,Description,Distance,EndPoint,Name,StartPoint,TimeUpdated,TravelTimeID,timestamp
20,20,Woodinville to Downtown Seattle,20.76,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Woodinville-Seattle via 90,"{'Description': 'SR 522 @ SR 202 in Woodinville', 'Direction': 'S', 'Latitude': 47.75818, 'Longitude': -122.16402, 'MilePost': 23.01, 'RoadName': '405'}",/Date(1738215900000-0800)/,59,2025-01-29 21:47:52.451024
17,17,Woodinville to Downtown Seattle,17.25,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Woodinville-Seattle via 520,"{'Description': 'SR 522 @ SR 202 in Woodinville', 'Direction': 'W', 'Latitude': 47.75818, 'Longitude': -122.16402, 'MilePost': 23.01, 'RoadName': '405'}",/Date(1738215900000-0800)/,60,2025-01-29 21:47:52.451024
12,12,Downtown Bellevue to Tukwila,13.22,"{'Description': 'I-405 @ I-5 in Tukwila', 'Direction': 'S', 'Latitude': 47.463303, 'Longitude': -122.262701, 'MilePost': 0.11, 'RoadName': '405'}",Bellevue-Tukwila,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",/Date(1738215900000-0800)/,63,2025-01-29 21:47:52.451024
12,12,Downtown Bellevue to Tukwila using HOV lanes,13.22,"{'Description': 'I-405 @ I-5 in Tukwila', 'Direction': 'S', 'Latitude': 47.463303, 'Longitude': -122.262701, 'MilePost': 0.11, 'RoadName': '405'}",Bellevue-Tukwila HOV,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",/Date(1738215900000-0800)/,64,2025-01-29 21:47:52.451024
13,14,Tukwila to Downtown Bellevue using HOV lanes,13.49,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.61361, 'Longitude': -122.18797, 'MilePost': 13.6, 'RoadName': '405'}",Tukwila-Bellevue HOV,"{'Description': 'I-405 @ I-5 in Tukwila', 'Direction': 'N', 'Latitude': 47.4648, 'Longitude': -122.2657, 'MilePost': 0.11, 'RoadName': '405'}",/Date(1738215900000-0800)/,65,2025-01-29 21:47:52.451024
9,9,Auburn to Renton,10.28,"{'Description': 'SR 167 @ I-405 in Renton', 'Direction': 'N', 'Latitude': 47.458, 'Longitude': -122.217, 'MilePost': 26.14, 'RoadName': '167'}",Auburn-Renton,"{'Description': 'SR 167 @ 15th St NW in Auburn', 'Direction': 'N', 'Latitude': 47.323, 'Longitude': -122.244, 'MilePost': 15.86, 'RoadName': '167'}",/Date(1738215900000-0800)/,67,2025-01-29 21:47:52.451024
9,9,Auburn to Renton using HOV lanes,10.28,"{'Description': 'SR 167 @ I-405 in Renton', 'Direction': 'N', 'Latitude': 47.458, 'Longitude': -122.217, 'MilePost': 26.14, 'RoadName': '167'}",Auburn-Renton HOV,"{'Description': 'SR 167 @ 15th St NW in Auburn', 'Direction': 'N', 'Latitude': 47.323, 'Longitude': -122.244, 'MilePost': 15.86, 'RoadName': '167'}",/Date(1738215900000-0800)/,68,2025-01-29 21:47:52.451024
9,9,Renton to Auburn using HOV lanes,10.28,"{'Description': 'SR 167 @ 15th St NW in Auburn', 'Direction': 'S', 'Latitude': 47.323, 'Longitude': -122.244, 'MilePost': 15.86, 'RoadName': '167'}",Renton-Auburn HOV,"{'Description': 'SR 167 @ I-405 in Renton', 'Direction': 'S', 'Latitude': 47.458, 'Longitude': -122.217, 'MilePost': 26.14, 'RoadName': '167'}",/Date(1738215900000-0800)/,69,2025-01-29 21:47:52.451024
9,9,Renton to Auburn,10.28,"{'Description': 'SR 167 @ 15th St NW in Auburn', 'Direction': 'S', 'Latitude': 47.323, 'Longitude': -122.244, 'MilePost': 15.86, 'RoadName': '167'}",Renton-Auburn,"{'Description': 'SR 167 @ I-405 in Renton', 'Direction': 'S', 'Latitude': 47.458, 'Longitude': -122.217, 'MilePost': 26.14, 'RoadName': '167'}",/Date(1738215900000-0800)/,70,2025-01-29 21:47:52.451024
15,15,Issaquah to Downtown Seattle using HOV lanes,15.56,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Issaquah-Seattle HOV,"{'Description': 'I-90 @ Front St in Issaquah', 'Direction': 'W', 'Latitude': 47.541799, 'Longitude': -122.037396, 'MilePost': 16.96, 'RoadName': '090'}",/Date(1738215900000-0800)/,71,2025-01-29 21:47:52.451024
