station_id,barometric_pressure,latitude,longitude,loc_key,percipitation,reading_time,humidity,sky_coverage,raw_roadname,road_key,mp,temp,visibility,wind_direction,wind_gust_speed,avg_wind_speed,updated,last_refresh
2958,NULL,47.3029,-124.25,5ffe36d59e4ec66327ab088a4249a91c,UNKNOWN,"2025-02-15 01:05:27",78,N/A,"SR 109",SR-109,36.70,42.26,NULL,N,1,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2995,NULL,46.0446,-119.225,52e2afb98eab279fceaaa41f7d112dbd,UNKNOWN,"2025-02-15 01:07:35",78,N/A,I-82,I-82,121.42,26.06,1,ESE,3,2,"2025-02-14 17:16:22","2025-02-15 01:19:53"
2996,NULL,46.4964,-117.972,6d3eb1215f81eb756b7010e2af4a8e46,UNKNOWN,"2025-02-15 01:08:53",80,N/A,"US 12",US-12,UNKNOWN,29.84,1,E,11,4,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3002,NULL,47.1821,-121.031,7d013e03e90d25e5966ec9ab846195c4,UNKNOWN,"2025-02-15 01:01:40",72,N/A,I-90,I-90,79.00,33.98,1,N/A,8,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3004,NULL,46.1314,-119.602,e002d9b506fc2dd47ee4131eab69dc2c,UNKNOWN,"2025-02-15 01:07:34",79,N/A,"SR 221",SR-221,13.40,22.1,1,E,3,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3005,NULL,46.2504,-119.369,632c0061ed270d81293f5124a04a5e2c,UNKNOWN,"2025-02-15 01:07:37",71,N/A,I-82,I-82,102.50,28.58,1,SSE,7,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3006,NULL,46.0456,-120.567,ce9c0709cbf9822f8bf4d45606d70a5a,UNKNOWN,"2031-01-10 11:55:24",NULL,N/A,"US 97",US-97,34.50,33.08,1,N,1,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3007,NULL,48.876,-117.348,095d0e2081a3c834b875fcbec2cd391c,UNKNOWN,"2025-02-15 00:58:24",34,N/A,"SR 31",SR-31,16.67,26.42,0,E,0,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3028,NULL,48.0691,-123.626,3ce783ccba232d0627e15192c1ff13c2,UNKNOWN,"2025-02-15 01:05:40",NULL,N/A,"US 101",US-101,237.17,NULL,1,SW,1,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3038,1004.7,47.5316,-121.987,1245ebe6192080bb1928f24a045f7284,UNKNOWN,"2025-02-15 01:00:24",93,N/A,I-90,I-90,19.93,35.96,1,ESE,3,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3110,NULL,46.2176,-119.749,d331eccecfccdbfed02f99de6e4fb42f,UNKNOWN,"2025-02-15 01:07:50",68,N/A,I-82,I-82,81.73,30.74,1,N/A,2,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3111,NULL,46.4976,-120.44,5c9981bc0f7324c7380adf4d24cd5e98,UNKNOWN,"2025-02-15 01:09:11",67,N/A,I-82,I-82,41.50,32.9,1,SSE,3,2,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3112,984.8,46.5414,-120.471,fd4f806a678ee815bd430729255e0328,UNKNOWN,"2025-02-15 01:01:46",72,N/A,I-82,I-82,37.80,32.72,1,SE,5,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3113,NULL,46.393,-120.241,f0a1a47cfa0aa3ef0e8b6c7d9a94ae58,UNKNOWN,"2025-02-15 01:01:47",73,N/A,I-82,I-82,54.08,31.28,1,NE,4,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3114,NULL,46.3266,-120.078,4cff4f95299d527fe7df363e1181fe30,UNKNOWN,"2025-02-15 01:01:53",72,N/A,I-82,I-82,63.64,30.56,1,NNE,4,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3233,1023.1,45.8715,-122.71,c84d9c2b0caafc2bdb88d6dd86409d48,UNKNOWN,"2025-02-15 01:05:53",NULL,N/A,I-5,I-5,18.37,34.7,NULL,S,3,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3234,NULL,47.0677,-122.716,f93e9914cf41334dbf896850db29762b,UNKNOWN,"2025-02-15 01:07:03",86,N/A,I-5,I-5,114.29,41.18,NULL,N/A,NULL,NULL,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3235,875.3,48.3904,-119.879,11abeac01fba730699857bb481320a20,UNKNOWN,"2025-02-15 01:01:48",86,N/A,"SR 20",SR-20,214.50,19.76,1,N/A,1,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3266,NULL,46.5341,-119.88,63f0efa86748c92a2e6d5b46ac057276,UNKNOWN,"2025-02-15 01:09:22",67,N/A,"SR 240",SR-240,26.14,30.56,1,N/A,1,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3267,1020.7,48.446,-122.432,27749318dfb742518c2bb93ea256a292,UNKNOWN,"2025-02-15 01:00:27",83,N/A,"SR 20",SR-20,55.09,39.56,NULL,S,8,6,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3268,1005.1,47.9163,-122.207,9dd8edb27d3583365cb38bcda904dbd2,UNKNOWN,"2025-02-15 01:00:30",1,N/A,I-5,I-5,189.19,39.56,NULL,N/A,NULL,NULL,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3269,901.4,47.9803,-122.188,81034b11c4154d4429899417fab9ffef,UNKNOWN,"2025-02-15 01:00:32",89,N/A,I-5,I-5,193.91,41.9,NULL,N/A,0,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3271,1002.6,47.8139,-121.571,330d1c61af624b76cbd04fd49bbd5a57,UNKNOWN,"2025-02-15 01:01:40",85,N/A,"US 2",US-2,35.62,35.96,1,E,2,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3272,NULL,48.1771,-124.215,e4c5bd00a5f69295e1843a11c3b9ca63,UNKNOWN,"2025-02-15 01:06:12",NULL,N/A,"SR 112",SR-112,23.12,NULL,1,SW,3,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3273,NULL,46.5003,-119.612,4e6761e23d26cf14064e26ca15369c12,UNKNOWN,"2025-02-15 01:07:54",99,N/A,"SR 240",SR-240,7.96,34.7,1,N/A,3,2,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3274,NULL,46.4671,-119.541,27c6dc9795f819d5aae326b12296d650,UNKNOWN,"2025-02-15 01:08:00",69,N/A,"SR 240",SR-240,12.31,33.08,1,SW,2,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3275,NULL,46.3832,-119.423,feac7fd28fb79899dc23885ad871c4d6,UNKNOWN,"2025-02-15 01:08:06",71,N/A,"SR 240",SR-240,20.51,31.46,1,SSW,14,8,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3276,NULL,46.3256,-119.316,e921966a7839058237ef2c6bac261d06,UNKNOWN,"2025-02-15 01:08:09",71,N/A,"SR 240",SR-240,26.14,31.28,0,SSE,4,2,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3277,991.1,47.3035,-122.233,0758415be0cb496097ab60120c3bed0d,UNKNOWN,"2025-02-15 01:01:44",7,N/A,"SR 18",SR-18,3.68,-36.04,0,N/A,3,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3295,NULL,46.0495,-118.496,b0a9395086ab83c6c10344af38c96daf,UNKNOWN,"2025-02-15 01:08:12",78,N/A,"SR 12",SR-12,328.75,31.28,1,ESE,3,3,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3752,1008.3,47.831,-122.262,e78da7c6e53c9e38ce7935c2c13a86c0,UNKNOWN,"2025-02-15 01:01:46",77,N/A,I-5,I-5,182.57,38.12,NULL,N/A,3,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3776,NULL,46.8023,-123.007,ac362fb6009f974c1036969c600e86b9,UNKNOWN,"2025-02-15 01:07:25",97,N/A,I-5,I-5,88.32,37.58,1,SSE,8,4,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3832,1017.2,48.9639,-122.485,41e12a54d53b4118229bc9dc9c427036,UNKNOWN,"2025-02-15 01:01:49",66,N/A,"SR 539",SR-539,12.52,40.64,1,SSW,4,2,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3833,1017.9,48.892,-122.486,9cf1aefb5af23371e418a6a957426506,UNKNOWN,"2025-02-15 01:01:52",66,N/A,"SR 539",SR-539,7.51,41.18,1,S,7,4,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3841,1019.2,47.8474,-122.01,7fb3de11c9d2795434063d3c9aa9800d,UNKNOWN,"2025-02-15 01:02:19",80,N/A,"SR 522",SR-522,23.03,39.56,1,SE,0,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
3854,NULL,47.2638,-122.546,6a925a25e1c34cd4e58667b77ce292db,UNKNOWN,"2025-02-15 01:06:18",NULL,N/A,"SR 16",SR-16,UNKNOWN,NULL,NULL,SSE,8,4,"2025-02-14 17:16:22","2025-02-15 01:19:53"
